session,session_threshold_p93,session_threshold_p95,session_threshold_p98,cut_scope,A_ID,animal_session_threshold_p93,animal_session_threshold_p95,animal_session_threshold_p98
1,9.865960000000108,13.554877000001287,39.57188000000403,session,,,,
2,11.518138769999906,17.127575000000398,55.7751739799995,session,,,,
1,,,,animal_session,ASD012,4.940639999999839,6.038700000000243,16.08861999999995
2,,,,animal_session,ASD012,3.915442999999838,6.990392649999985,30.772636120000083
1,,,,animal_session,ASD013,2.7338006399993593,3.3941023999995985,8.652780799999835
2,,,,animal_session,ASD013,2.916879999999279,4.914549999999974,14.784989999999901
1,,,,animal_session,ASD014,12.702574479999123,16.49238320000001,70.98352955999914
2,,,,animal_session,ASD014,5.88917703999994,7.472974999999858,16.832290000000267
1,,,,animal_session,ASD104,14.609010000000065,19.351024299998237,77.94319141999995
2,,,,animal_session,ASD104,13.287915000000064,20.671849650000386,58.94162972000066
1,,,,animal_session,ASD105,20.280139999999165,33.808899399999355,162.75554392000078
2,,,,animal_session,ASD105,14.973291999999718,19.709047799999222,34.386098639999965
1,,,,animal_session,ASD128,3.34808467000037,4.815633450000151,12.171742479999637
2,,,,animal_session,ASD128,3.7512999999999024,6.439350000000158,18.56822000000012
1,,,,animal_session,ASD138,7.307379320002221,10.144522899997522,25.51309496000173
2,,,,animal_session,ASD138,29.81125616000014,40.037976800000976,136.54258247999874
1,,,,animal_session,ASD139,5.307731490000016,7.072493950000054,12.942085340000007
2,,,,animal_session,ASD139,6.443537680000156,9.580775399999402,36.51093331999986
1,,,,animal_session,ASD141,16.633634130000278,24.67067500000774,91.61263000000346
2,,,,animal_session,ASD141,26.19975399999964,37.87829529999934,148.23186549999735
1,,,,animal_session,ASD178,36.9796861999996,46.74080480000009,88.47208143999897
2,,,,animal_session,ASD178,7.9623335399998725,11.031247949999944,55.0837528600004
1,,,,animal_session,ASD198,7.983275000000597,10.283000000000811,48.52454999999951
2,,,,animal_session,ASD198,4.133153300000416,5.166182999999478,8.903358500000076
1,,,,animal_session,ASD235,5.7438212199997905,7.387676150000234,22.749969419999733
2,,,,animal_session,ASD235,7.459070260000204,10.043948600000018,32.34325327999981
1,,,,animal_session,ASD236,4.233294210000168,5.69727695000056,14.615947659999243
2,,,,animal_session,ASD236,1.2467096800000241,1.7070213000000407,8.046445400000046
1,,,,animal_session,ASD247,4.680639999999329,6.085950000000049,16.39791000000036
2,,,,animal_session,ASD247,12.775999999999886,18.632124999999974,53.874400000000286
2,,,,animal_session,ASD248,8.266325249999682,12.829487250000057,43.30429050000032
1,,,,animal_session,ASD260,11.218088549998921,13.916819500001566,36.72849669999879
2,,,,animal_session,ASD260,18.24688500000002,29.517124999998632,168.40279999999805
1,,,,animal_session,ASD262,14.245610000000063,18.77339999999944,58.59668000000051
2,,,,animal_session,ASD262,13.157819779999294,19.42048035000116,96.15073041999929
1,,,,animal_session,ASD268,11.367268259999802,17.64078289999992,70.10798392000032
2,,,,animal_session,ASD268,6.699247319999902,9.654228600000296,27.28249740000036
1,,,,animal_session,ASD269,26.941374299999165,40.682974500000974,77.328031059999
2,,,,animal_session,ASD269,22.966850549999997,34.83487475000237,105.26299690000074
1,,,,animal_session,ASD270,5.351313160001163,7.35254029999996,13.645179040000125
2,,,,animal_session,ASD270,11.033115960000233,16.923136399999745,58.045507360001196
1,,,,animal_session,ASD274,4.817295650000356,5.872493750000217,12.14225469999998
2,,,,animal_session,ASD274,6.324482829999809,8.941914550001005,36.60258467999993
1,,,,animal_session,ASD275,9.00354367999924,12.1793074499998,26.221519199999904
2,,,,animal_session,ASD275,15.031956040000155,19.873923550000104,47.32906049999926
1,,,,animal_session,ASD292,4.603630000000231,6.5601499999998385,13.522200000000167
2,,,,animal_session,ASD292,6.774792149999667,7.85632400000019,20.601860000000183
1,,,,animal_session,ASD293,12.62367999999944,16.665600200000664,33.82559903999884
2,,,,animal_session,ASD293,5.270380000000213,7.4681500000000005,15.735839999999873
1,,,,animal_session,ASD306,9.554000700000142,12.414503249999996,28.204599699999783
2,,,,animal_session,ASD306,11.124399480000164,15.148503999999793,39.56869927999964
1,,,,animal_session,ASD313,15.64331796999983,23.32971054999884,101.26015247999968
2,,,,animal_session,ASD313,18.706028999999333,28.219054500001565,136.86193720000006
1,,,,animal_session,ASD314,12.084221600000902,20.793145249998815,90.76050879999922
2,,,,animal_session,ASD314,29.128120000000422,43.60850000000205,212.44305999999943
