trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,56434.03462,56433.16012,56433.491121,56434.03462,56442.171621,1,NaN,0,5.99999999999996,2,1,65,0.5
2,56445.08312,56444.53962,56444.610122,56445.030121,56448.057121,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
3,56450.25162,56449.446121,56449.818121,56450.25162,56452.693125,1,NaN,0,5.99999999999996,2,1,65,0.5
4,56457.703122,56457.087121,56457.142115,56457.703122,56480.219621,1,NaN,0,5.99999999999996,2,1,65,0.5
5,56481.735621,56481.22912,56481.27012,56481.735621,56486.361121,1,NaN,0,5.99999999999996,2,1,65,0.5
6,56489.76162,56488.90812,56489.289121,56489.709121,56497.20162,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
7,56509.198121,56508.618621,56508.733621,56509.14562,56511.380621,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
8,56513.78962,56513.17962,56513.23262,56513.736621,56516.366121,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
9,56519.00662,56518.08912,56518.473615,56518.95312,56526.813621,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
10,56531.585121,56530.477621,56531.148621,56531.585121,56538.42562,0,NaN,0,7.00000000000003,1,2,66,0.5
11,56541.308621,56540.52262,56540.852121,56541.25562,56549.82312,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
12,56552.12362,56551.396121,56551.71712,56552.12362,56557.730121,0,NaN,0,7.00000000000003,1,2,66,0.5
13,56559.874622,56558.83662,56559.243121,56559.874622,56570.130621,0,NaN,0,7.00000000000003,1,2,66,0.5
14,56571.747121,56570.845621,56571.222121,56571.694121,56587.897621,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
15,56589.533121,56588.93962,56588.997122,56589.480621,56592.364122,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
16,56595.406121,56594.79362,56594.965121,56595.406121,56603.56912,0,NaN,0,7.00000000000003,1,2,66,0.5
17,56607.587121,56606.636121,56607.160621,56607.587121,56631.525115,0,NaN,0,7.00000000000003,1,2,66,0.5
18,56638.47462,56637.535621,56637.947621,56638.422122,56646.754121,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
19,56648.265621,56647.36162,56647.793121,56648.213122,56652.14562,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
20,56653.845121,56652.96712,56653.257624,56653.792121,56657.40112,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
21,56660.89212,56660.157121,56660.37612,56660.89212,56667.09062,0,NaN,0,7.00000000000003,1,2,66,0.5
22,56668.825121,56667.881122,56668.22712,56668.77262,56675.128621,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
23,56677.422625,56676.291121,56676.806625,56677.370121,56679.850621,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
24,56682.82012,56681.88712,56682.22612,56682.82012,56692.63912,0,NaN,0,7.00000000000003,1,2,66,0.5
25,56694.677625,56693.997625,56694.285621,56694.677625,56696.307121,0,NaN,0,7.00000000000003,1,2,66,0.5
26,56708.188625,56707.44362,56707.668625,56708.13612,56710.79812,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
27,56714.730621,56713.867121,56714.155121,56714.67862,56717.52612,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
28,56719.947621,56719.051121,56719.41662,56719.894621,56724.641621,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
29,56725.97612,56725.27262,56725.448625,56725.923123,56729.036621,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
30,56734.455125,56733.27162,56733.546122,56734.402621,56737.23812,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
31,56743.582121,56742.85612,56742.87062,56743.582121,56750.434621,1,NaN,0,5.99999999999996,2,1,65,0.5
32,56751.87862,56751.17312,56751.404621,56751.87862,56761.381121,1,NaN,0,5.99999999999996,2,1,65,0.5
