strain,sex,schedule_label,session,genotype,A_ID,n_trials,mean_itl,median_itl,sem_itl,sd_itl,min_itl,max_itl,cut_scope,percentile
TSC2,male,Probabilistic,1,HET,ASD042,1033,1.6813640038722055,0.8375000000014552,0.05628431496175022,1.8089957452595202,0.30900000000110595,8.556000000000495,session,93
TSC2,male,Probabilistic,1,HET,ASD043,1019,1.8536618851815643,1.1286659999996118,0.055058452889597695,1.757563787193333,0.38400000000001455,8.409991999998965,session,93
TSC2,male,Probabilistic,1,HET,ASD058,951,1.688876998948422,1.2214999999996508,0.04465918057895568,1.3772126676350933,0.4154979999984789,8.391500999998243,session,93
TSC2,male,Probabilistic,1,HET,ASD060,998,1.2930167655310525,0.7480795000000171,0.04547649766989003,1.4366543135489735,0.33265899999969406,8.338467000001401,session,93
TSC2,male,Probabilistic,1,HET,ASD062,923,1.3007220910075934,0.7649989999990794,0.04483956518947493,1.3622670214351598,0.34799999999995634,8.5430039999992,session,93
TSC2,male,Probabilistic,1,HET,ASD099,780,1.3292890948717941,0.904250000000502,0.043854648389632,1.224793674295812,0.3760000000002037,8.359999999998763,session,93
TSC2,male,Probabilistic,1,HET,ASD109,980,1.8909005081632517,0.9572500000012951,0.059914261686930204,1.8756130673516194,0.2989999999990687,8.51299999999901,session,93
TSC2,male,Probabilistic,1,HET,ASD124,936,1.3140825608974238,0.9098295000001144,0.036561647554053674,1.1185713259633299,0.3883370000003197,8.280806000000666,session,93
TSC2,male,Probabilistic,1,HET,ASD174,896,1.5790679352678743,0.8880039999999099,0.0549519600907605,1.6448912591304083,0.35399599999982456,8.566996999999901,session,93
TSC2,male,Probabilistic,1,HET,ASD195,923,1.7153613250270747,1.0184989999997924,0.05477993310397068,1.6642644947297554,0.3449999999975262,8.495499999999993,session,93
TSC2,male,Probabilistic,1,WT,ASD044,767,0.9860423715776041,0.6585000000013679,0.03418358385648463,0.9467063165758606,0.30650000000059663,8.358500000000276,session,93
TSC2,male,Probabilistic,1,WT,ASD059,754,1.4801841856764153,0.8329985000000306,0.05791721653925154,1.5903523492067828,0.36400000000003274,8.441990999999689,session,93
TSC2,male,Probabilistic,1,WT,ASD061,964,1.208216411825747,0.6704174999997576,0.04648574212081286,1.4433055631375835,0.2881649999999354,8.55513300000166,session,93
TSC2,male,Probabilistic,1,WT,ASD100,962,1.1554318367983152,0.7904989999998406,0.03610393601819447,1.1198041867030395,0.3845050000008996,8.467999999999847,session,93
TSC2,male,Probabilistic,1,WT,ASD108,698,1.8577813252149067,1.393665500000111,0.05377280967180245,1.4206609419139828,0.438666000000012,8.520658000001276,session,93
TSC2,male,Probabilistic,1,WT,ASD110,680,1.5654492647058682,0.8585000000005039,0.06422522855121825,1.6747890577831677,0.31850000000031287,8.558999999999742,session,93
TSC2,male,Probabilistic,1,WT,ASD111,1070,1.1971489476635462,0.7036659999998847,0.040533592488217515,1.3258884449307735,0.2906669999993028,8.499325000000681,session,93
TSC2,male,Probabilistic,1,WT,ASD149,937,1.505451348986131,0.9546709999995073,0.047779033752156655,1.4625379974939026,0.35533299999997325,8.479992000000493,session,93
TSC2,male,Probabilistic,1,WT,ASD150,807,1.7571660433705145,1.262000000000171,0.04799921145653691,1.363549379546858,0.3544999999999163,8.252000000000407,session,93
TSC2,male,Probabilistic,1,WT,ASD151,1014,1.5666178510848459,1.0620000000000118,0.04292944860939423,1.367018172416633,0.41700000000128057,8.480000000003201,session,93
TSC2,male,Probabilistic,2,HET,ASD042,939,2.6180408455803748,1.367167000000336,0.08410379062739506,2.577201446225152,0.35632600000099046,10.69962900000246,session,93
TSC2,male,Probabilistic,2,HET,ASD043,710,1.1593523535211316,0.5675805000005312,0.05725085531326482,1.5254962825950358,0.2713260000000446,10.431290999999874,session,93
TSC2,male,Probabilistic,2,HET,ASD058,394,1.5530018223350082,0.951998999999887,0.08170021980672831,1.6217030588514905,0.33666600000015023,10.353990000000067,session,93
TSC2,male,Probabilistic,2,HET,ASD060,790,1.7404647329114145,0.6916675000002215,0.0768282267830234,2.1594062564030674,0.2973379999998542,10.749789999999848,session,93
