trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,1074.599453,1073.599454,1073.787454,1074.599453,1150.356711,0,NaN,0,7.00000000000003,1,8,66,0.5
2,1152.269375,1151.23871,1151.544709,1152.269375,1178.864016,0,NaN,0,7.00000000000003,1,8,66,0.5
3,1180.313347,1179.403348,1179.664015,1180.260014,1207.692653,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
4,1215.491312,1214.43198,1214.841313,1215.491312,1220.979973,1,NaN,0,5.99999999999996,0,7,65,0.5
5,1222.621972,1221.581306,1221.898639,1222.620638,1227.273967,0,NaN,0.00999999999999943,5.99999999999996,0,7,65,0.5
6,1230.343964,1229.322632,1229.791298,1230.290631,1239.150622,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
7,1240.775954,1239.889954,1240.199954,1240.775954,1255.465272,0,NaN,0,7.00000000000003,1,8,66,0.5
8,1257.395937,1256.419271,1256.821271,1257.395937,1268.615926,0,NaN,0,7.00000000000003,1,8,66,0.5
9,1271.593923,1270.541924,1270.825923,1271.593923,1271.845256,0,NaN,0,7.00000000000003,1,8,66,0.5
10,1336.259191,1335.259192,1335.517192,1336.259191,1341.363853,1,NaN,0,5.99999999999996,2,7,65,0.5
11,1357.751171,1356.686504,1356.979171,1357.751171,1379.129815,1,NaN,0,5.99999999999996,2,7,65,0.5
12,1386.144475,1385.313809,1385.587142,1386.144475,1386.231141,1,NaN,0,5.99999999999996,2,7,65,0.5
13,1394.174467,1393.361801,1393.593801,1394.121134,1408.556452,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
14,1410.179784,1409.220452,1409.506451,1410.126451,1416.162445,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
15,1420.54844,1419.496441,1419.689775,1420.54844,1440.284421,0,NaN,0,7.00000000000003,1,8,66,0.5
16,1447.244414,1445.173749,1445.541749,1447.19108,1451.718409,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
17,1453.813074,1453.019075,1453.177741,1453.813074,1463.683731,1,NaN,0,5.99999999999996,0,7,65,0.5
18,1465.253062,1464.20973,1464.563063,1465.151062,1618.540242,0,NaN,0.00999999999999943,5.99999999999996,0,7,65,0.5
19,1621.761573,1620.890907,1621.105573,1621.761573,1649.490211,0,NaN,0,7.00000000000003,1,8,66,0.5
20,1651.610876,1650.53421,1650.857543,1651.557543,1659.620868,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
21,1662.006866,1660.7302,1661.274866,1661.953532,1665.875528,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
22,1671.467523,1670.405524,1670.630857,1671.41419,1677.899516,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
23,1679.358182,1678.498849,1678.803515,1679.358182,1682.065512,0,NaN,0,7.00000000000003,1,8,66,0.5
24,1686.798174,1685.882842,1686.124842,1686.744841,1690.030838,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
25,1692.350835,1691.18017,1691.639503,1692.297502,1698.059496,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
26,1699.682161,1698.807495,1698.988162,1699.682161,1757.408104,1,NaN,0,5.99999999999996,2,7,65,0.5
27,1758.996769,1757.948103,1758.240103,1758.994102,1767.779427,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
28,1771.41809,1770.445424,1770.701424,1771.364756,1774.960753,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
29,1777.592083,1776.470751,1776.697418,1777.53875,1780.340747,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
30,1783.313411,1782.424079,1782.689412,1783.313411,1856.652671,0,NaN,0,7.00000000000003,1,8,66,0.5
31,1858.270003,1857.48467,1857.73067,1858.270003,1865.207996,0,NaN,0,7.00000000000003,1,8,66,0.5
32,1875.869985,1874.857986,1875.039319,1875.816652,1880.107981,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
33,1882.129979,1881.21598,1881.397313,1882.129979,1887.749973,0,NaN,0,7.00000000000003,1,8,66,0.5
34,1894.568633,1893.805967,1894.022634,1894.568633,2057.229804,1,NaN,0,5.99999999999996,2,7,65,0.5
35,2060.5918,2058.174469,2058.522469,2060.538467,2063.645797,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
36,2066.130462,2064.980463,2065.067129,2066.129128,2076.289785,1,NaN,0.00999999999999943,7.00000000000003,0,8,66,0.5
37,2077.96045,2076.876451,2077.30445,2077.907116,2089.143105,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
38,2092.245769,2091.06577,2091.25777,2092.192435,2097.837764,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
39,2099.965761,2098.900429,2099.286428,2099.913094,2102.517758,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
40,2105.381089,2104.40909,2104.720423,2105.381089,2108.204419,1,NaN,0,5.99999999999996,2,7,65,0.5
41,2114.41108,2113.601081,2113.771081,2114.41108,2126.640401,1,NaN,0,5.99999999999996,2,7,65,0.5
42,2128.400399,2127.3304,2127.753733,2128.347066,2132.831061,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
43,2135.241059,2134.108394,2134.483726,2135.241059,2141.118387,1,NaN,0,5.99999999999996,2,7,65,0.5
44,2142.885051,2141.829052,2142.142386,2142.885051,2147.93838,1,NaN,0,5.99999999999996,2,7,65,0.5
45,2153.333041,2152.315042,2152.575042,2153.333041,2164.62103,1,NaN,0,5.99999999999996,2,7,65,0.5
46,2167.187027,2166.247028,2166.541694,2167.187027,2175.028353,1,NaN,0,5.99999999999996,2,7,65,0.5
47,2176.970351,2175.738352,2176.139018,2176.917017,2180.886347,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
48,2182.916345,2181.814346,2182.250345,2182.863011,2186.497674,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
49,2188.585006,2187.755673,2187.89234,2188.585006,2193.923667,1,NaN,0,5.99999999999996,2,7,65,0.5
50,2195.974998,2194.711,2195.253666,2195.974998,2201.930998,1,NaN,0,5.99999999999996,2,7,65,0.5
51,2204.057657,2202.761658,2203.256991,2204.004324,2208.950319,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
52,2210.720984,2209.703651,2210.027651,2210.720984,2215.995645,0,NaN,0,7.00000000000003,0,8,66,0.5
53,2222.387639,2221.32964,2221.611639,2222.334305,2227.910966,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
54,2230.002298,2228.989632,2229.325632,2229.948964,2240.810287,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
55,2242.945618,2241.648953,2241.959619,2242.945618,2260.844933,1,NaN,0,5.99999999999996,2,7,65,0.5
56,2265.284262,2264.363597,2264.671596,2265.284262,2292.956901,1,NaN,0,5.99999999999996,2,7,65,0.5
57,2294.990233,2293.864234,2294.294233,2294.990233,2304.216223,0,NaN,0,7.00000000000003,0,8,66,0.5
58,2308.490219,2307.31022,2307.61422,2308.388219,2311.978216,0,NaN,0.00999999999999943,5.99999999999996,0,7,65,0.5
59,2320.204207,2319.331542,2319.567541,2320.204207,2339.124189,1,NaN,0,5.99999999999996,2,7,65,0.5
60,2340.894853,2339.649521,2340.054188,2340.89352,2345.822848,1,NaN,0.00999999999999943,7.00000000000003,0,8,66,0.5
61,2347.73218,2346.712848,2347.009514,2347.678847,2353.749507,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
62,2355.518172,2354.733506,2354.804839,2355.518172,2361.791499,1,NaN,0,5.99999999999996,0,7,65,0.5
63,2363.466164,2362.385499,2362.830831,2363.466164,2366.940161,1,NaN,0,5.99999999999996,2,7,65,0.5
64,2371.278823,2370.368824,2370.616157,2371.278823,2382.139479,1,NaN,0,5.99999999999996,2,7,65,0.5
65,2406.404121,2405.562122,2405.758789,2406.404121,2661.0072,1,NaN,0,5.99999999999996,2,7,65,0.5
66,2668.021193,2666.801194,2667.002527,2668.021193,2671.855856,1,NaN,0,5.99999999999996,0,7,65,0.5
67,2677.755183,2676.729184,2677.051184,2677.702517,2681.325846,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
68,2684.233177,2682.881178,2683.154511,2684.233177,3035.692825,1,NaN,0,5.99999999999996,2,7,65,0.5
69,3066.381461,3065.278796,3065.649462,3066.381461,3098.886095,1,NaN,0,5.99999999999996,2,7,65,0.5
70,3100.541427,3099.528095,3099.778095,3100.541427,3107.072087,1,NaN,0,5.99999999999996,0,7,65,0.5
71,3112.000749,3110.684084,3111.034083,3111.947416,3134.929393,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
72,3141.017387,3139.741388,3139.869388,3140.964053,3144.856716,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
73,3148.361379,3147.430047,3147.526047,3148.358713,3155.156706,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
74,3156.924704,3155.929372,3156.205372,3156.871371,3160.978033,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
75,3163.056031,3162.060032,3162.368032,3163.056031,3167.244694,1,NaN,0,5.99999999999996,0,7,65,0.5
76,3169.936691,3168.874692,3169.246025,3169.936691,3173.89002,1,NaN,0,5.99999999999996,2,7,65,0.5
77,3178.224683,3177.306017,3177.51335,3178.224683,3182.835345,1,NaN,0,5.99999999999996,2,7,65,0.5
78,3188.368673,3187.382007,3187.63334,3188.368673,3194.774,1,NaN,0,5.99999999999996,2,7,65,0.5
79,3197.32933,3196.139331,3196.580664,3197.32933,3202.809991,1,NaN,0,5.99999999999996,2,7,65,0.5
80,3207.61732,3206.625988,3206.884654,3207.563987,3215.922645,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
81,3219.205975,3217.509977,3218.032643,3219.152642,3224.608636,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
82,3226.587968,3225.639302,3225.847302,3226.534634,3231.901962,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
83,3234.399293,3232.955961,3233.204628,3234.399293,3240.74262,1,NaN,0,5.99999999999996,2,7,65,0.5
84,3245.094616,3243.94595,3244.22595,3245.041283,3251.969942,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
85,3253.816607,3252.837941,3253.071941,3253.763274,3257.475937,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
86,3267.489927,3266.372595,3266.633261,3267.436594,3275.219253,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
87,3277.336584,3276.173918,3276.500584,3277.28325,3280.78658,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
88,3283.018578,3281.849246,3282.166579,3282.965245,3289.219905,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
89,3291.163903,3290.134571,3290.371904,3291.11057,3294.7779,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
90,3296.742564,3295.565899,3295.829232,3296.742564,3305.887888,1,NaN,0,5.99999999999996,2,7,65,0.5
91,3307.724554,3306.585888,3307.019221,3307.724554,3318.167876,0,NaN,0,7.00000000000003,1,8,66,0.5
92,3321.315206,3319.807208,3320.092541,3321.261873,3328.701199,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
93,3333.357194,3331.297196,3331.361863,3333.357194,3340.84252,1,NaN,0,5.99999999999996,2,7,65,0.5
94,3343.962517,3343.053851,3343.281184,3343.962517,3348.429179,1,NaN,0,5.99999999999996,2,7,65,0.5
95,3351.500509,3349.917844,3350.434511,3351.447176,3355.867172,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
96,3358.393836,3357.291837,3357.576503,3358.393836,3365.797162,0,NaN,0,7.00000000000003,1,8,66,0.5
97,3368.09916,3366.693161,3367.013161,3368.09916,3419.888441,1,NaN,0,5.99999999999996,2,7,65,0.5
98,3421.45644,3420.461774,3420.729107,3421.403106,3425.723102,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
99,3428.645099,3427.492433,3427.730433,3428.642432,3433.177761,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
100,3435.542425,3434.430427,3434.819093,3435.542425,3438.582422,0,NaN,0,7.00000000000003,1,8,66,0.5
101,3444.40975,3443.325751,3443.497751,3444.356417,3452.215075,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
102,3454.676406,3453.479741,3453.782407,3454.676406,3464.11973,1,NaN,0,5.99999999999996,2,7,65,0.5
103,3472.229055,3471.06639,3471.311056,3472.229055,3478.42305,1,NaN,0,5.99999999999996,2,7,65,0.5
104,3480.403047,3479.294382,3479.535048,3480.403047,3490.179037,1,NaN,0,5.99999999999996,2,7,65,0.5
105,3491.741036,3490.76037,3491.087703,3491.741036,3496.443031,0,NaN,0,7.00000000000003,1,8,66,0.5
106,3504.269023,3503.324358,3503.575691,3504.269023,3509.001685,0,NaN,0,7.00000000000003,1,8,66,0.5
107,3869.303992,3868.077331,3868.127326,3869.250658,3872.225989,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
108,3875.505985,3874.40532,3874.721986,3875.505985,3888.913305,0,NaN,0,7.00000000000003,1,8,66,0.5
109,3891.452636,3890.198638,3890.60197,3891.452636,3896.251965,0,NaN,0,7.00000000000003,1,8,66,0.5
110,3905.933955,3904.775956,3905.039956,3905.880622,3914.697946,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
111,3918.811275,3916.665944,3916.999944,3918.757942,3921.432606,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
112,3924.10727,3922.847271,3923.192604,3924.10727,3930.199931,1,NaN,0,5.99999999999996,2,7,65,0.5
113,3932.181262,3931.044597,3931.338596,3932.127929,3958.619236,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
114,3960.941233,3959.745235,3960.061901,3960.8879,3964.847896,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
115,3966.966561,3965.752562,3966.069895,3966.913894,3972.484555,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
116,3975.992552,3974.56722,3974.902553,3975.991218,3983.495211,1,NaN,0.00999999999999943,7.00000000000003,0,8,66,0.5
117,3985.748542,3984.415877,3984.801209,3985.748542,3991.458536,1,NaN,0,5.99999999999996,2,7,65,0.5
118,3998.568529,3997.345197,3997.677197,3998.568529,4003.420524,1,NaN,0,5.99999999999996,0,7,65,0.5
119,4023.230504,4021.472506,4021.834506,4023.230504,4024.34917,1,NaN,0,5.99999999999996,2,7,65,0.5
120,4110.114418,4104.779756,4104.995756,4110.114418,4126.206401,1,NaN,0,5.99999999999996,0,7,65,0.5
