trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,966.147138,965.526638,965.675138,966.147138,995.683138,0,NaN,0,7.00000000000003,1,8,66,0.5
2,1001.421138,1000.280138,1000.991138,1001.421138,1007.724638,0,NaN,0,7.00000000000003,1,8,66,0.5
3,1008.762138,1008.155638,1008.204138,1008.762138,1008.942638,1,NaN,0,5.99999999999996,2,7,65,0.5
4,1017.593638,1016.272638,1016.839638,1017.541138,1029.404638,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
5,1031.246638,1030.359638,1030.680638,1031.244138,1040.670638,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
6,1043.901138,1043.363638,1043.436638,1043.901138,1049.561638,0,NaN,0,7.00000000000003,1,8,66,0.5
7,1051.964638,1051.087638,1051.402638,1051.964638,1057.972638,0,NaN,0,7.00000000000003,1,8,66,0.5
8,1074.257638,1073.013138,1073.425638,1074.256638,1077.456138,0,NaN,0.00999999999999943,5.99999999999996,0,7,65,0.5
9,1083.569638,1082.812138,1082.890138,1083.567638,1092.388138,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,8,66,0.5
10,1095.908138,1094.966138,1095.352638,1095.908138,1119.800638,0,NaN,0,7.00000000000003,1,8,66,0.5
11,1132.115638,1131.373138,1131.411138,1132.115638,1132.314138,1,NaN,0,5.99999999999996,2,7,65,0.5
12,1140.310638,1139.134638,1139.486638,1140.309139,1144.489638,1,NaN,0.00999999999999943,7.00000000000003,0,8,66,0.5
13,1148.068138,1146.686638,1147.482138,1148.068138,1156.577138,1,NaN,0,5.99999999999996,2,7,65,0.5
14,1158.446138,1157.282638,1157.963138,1158.446138,1173.933138,1,NaN,0,5.99999999999996,2,7,65,0.5
15,1175.621638,1174.593638,1174.858138,1175.621638,1181.735638,0,NaN,0,7.00000000000003,1,8,66,0.5
16,1183.790138,1182.800638,1183.196638,1183.737138,1186.875638,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,7,65,0.5
17,1188.569138,1187.823138,1188.142638,1188.569138,1194.192638,1,NaN,0,5.99999999999996,2,7,65,0.5
