trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,1104.043969,1091.423347,1092.199511,NaN,1122.129724,NaN,NaN,0,7.00000000000003,1,2,66,0.5
2,1125.998214,1123.065893,1123.341219,1125.945875,1136.670833,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
3,1139.392327,1137.685834,1137.969994,1139.339994,1142.592309,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
4,1175.155518,1173.685351,1173.761023,1175.155518,1205.299225,1,NaN,0,5.99999999999996,2,1,65,0.5
5,1222.086824,1213.978524,1214.834187,NaN,NaN,NaN,NaN,0,7.00000000000003,1,2,66,0.5
6,1281.207593,1280.068431,1280.121264,1281.207593,1318.608605,0,NaN,0,7.00000000000003,1,2,66,0.5
7,1322.436257,1321.147934,1321.381927,1322.383757,1333.864377,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
8,1336.490706,1335.397538,1335.435377,1336.438373,1350.346812,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
9,1352.278143,1351.237974,1351.370473,1352.278143,1373.129887,0,NaN,0,7.00000000000003,1,2,66,0.5
10,1374.720386,1373.736223,1373.830056,1374.720386,1375.308717,1,NaN,0,5.99999999999996,2,1,65,0.5
11,1388.950996,1385.177505,1386.661005,1388.948824,1396.550965,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
12,1398.852784,1397.727955,1398.168626,1398.852784,1400.602283,0,NaN,0,7.00000000000003,1,2,66,0.5
13,1415.672556,1414.71622,1414.958386,1415.620222,1463.305198,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
14,1467.098511,1466.099848,1466.217681,1467.098511,1468.10234,0,NaN,0,7.00000000000003,1,2,66,0.5
15,1491.500247,1488.191265,1490.434418,1491.447747,1498.113226,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
16,1500.490216,1499.327215,1499.71888,1500.488044,1508.304346,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
17,1511.025001,1510.191178,1510.237671,1511.025001,1521.446793,0,NaN,0,7.00000000000003,1,2,66,0.5
18,1545.860196,1544.060869,1544.376207,1545.860196,1554.067997,1,NaN,0,5.99999999999996,2,1,65,0.5
19,1556.30532,1555.365491,1555.421157,1556.30532,1594.356335,0,NaN,0,7.00000000000003,1,2,66,0.5
20,1597.103163,1595.622169,1595.943668,1597.050991,1610.367444,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
21,1613.585431,1611.752266,1611.799766,1613.533098,1618.846904,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
22,1624.711886,1623.801217,1623.883217,1624.659547,1627.830702,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
23,1643.992136,1642.106817,1642.843141,1643.992136,1794.8007,0,NaN,0,7.00000000000003,1,2,66,0.5
24,1797.171196,1796.35986,1796.437199,1797.171196,1826.163747,1,NaN,0,5.99999999999996,2,1,65,0.5
25,1842.046177,1841.733351,1841.678512,NaN,1849.467982,NaN,NaN,0,5.99999999999996,2,1,65,0.5
26,1854.220629,1851.857638,1853.465465,1854.220629,1864.229595,1,NaN,0,5.99999999999996,2,1,65,0.5
27,1868.228079,1867.143577,1867.436076,1868.17574,1871.972558,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
28,1877.504542,1875.518378,1876.508212,1877.452202,1883.678684,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
29,1888.127327,1887.051837,1887.211336,1888.074999,1893.669304,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
30,1897.227124,1896.3593,1896.367127,1897.174796,1935.77297,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
31,1937.429629,1936.612633,1936.710638,1937.429629,1939.222628,0,NaN,0,7.00000000000003,1,2,66,0.5
32,1953.034567,1950.775248,1951.985738,1952.982068,1969.050337,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
33,1971.449499,1970.634669,1970.732669,1971.449499,1980.763457,0,NaN,0,7.00000000000003,1,2,66,0.5
34,1983.099447,1981.94179,1982.009118,1983.046947,1997.592228,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
35,2001.360546,2000.264217,2000.596877,2001.308208,2064.577455,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
36,2067.679609,2065.627789,2065.657116,2067.627109,2093.474011,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
