trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,schedule,odor_name,odor_dur,animal,session
24,1458.268365,1457.259033,1457.354366,1458.247032,1482.481674,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
25,1484.565006,1483.677673,1483.861006,1484.511672,1492.835664,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
26,1496.39566,1495.088995,1495.238328,1496.342327,1499.628324,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
27,1502.946321,1501.532322,1501.879655,1502.946321,1516.642974,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
28,1519.305638,1518.302972,1518.572972,1519.252304,1525.910964,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
29,1530.08496,1527.748296,1528.440962,1530.031627,1773.861383,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
30,1776.942713,1775.080048,1775.328048,1776.88938,1785.640705,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
31,1788.204702,1787.521369,1787.580703,1788.204702,1794.890029,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
32,1797.864692,1796.042694,1796.311361,1797.811359,1813.49801,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
33,1816.800007,1814.485342,1814.874009,1816.746673,1849.83864,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
34,1852.394638,1851.103972,1851.215306,1852.341305,1858.393965,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
35,1861.956629,1860.283963,1860.938629,1861.903295,1865.721958,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
36,1868.683955,1867.411956,1867.540623,1868.683955,1870.24862,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD273,p32
37,1882.158608,1880.877276,1881.203942,1882.158608,1891.902598,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
38,1894.136596,1892.845264,1893.35993,1894.133929,2188.822968,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
39,2203.196954,2202.144955,2202.213622,2203.14362,2210.692946,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
40,2214.848942,2213.532277,2213.61761,2214.848942,2222.664268,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
41,2227.260263,2225.865598,2225.970931,2227.20693,2240.648916,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
42,2244.883579,2243.38558,2243.892246,2244.830245,2250.360906,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
43,2253.222237,2251.930905,2251.964905,2253.168904,2263.066227,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
44,2268.830888,2267.456223,2267.830222,2268.777555,2300.854856,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
45,2303.78552,2302.398188,2302.482188,2303.78552,2311.948178,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
46,2317.459506,2316.175507,2316.558174,2317.459506,2343.732813,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
47,2346.77881,2345.361478,2345.766144,2346.725477,2361.652795,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
48,2364.702125,2362.907461,2363.78746,2364.648792,2374.846782,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
49,2379.434111,2377.806779,2377.999445,2379.380777,2396.160094,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
50,2398.968758,2397.945426,2398.096759,2398.968758,2407.02475,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
51,2410.384746,2409.174081,2409.486081,2410.384746,2639.453851,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
52,2666.081824,2663.89516,2664.809159,2666.079157,2674.195149,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
53,2680.322477,2679.224478,2679.249144,2680.31981,2684.504472,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
54,2688.430468,2687.223803,2687.391136,2688.430468,2730.811093,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
55,2734.786422,2732.373758,2733.087757,2734.733089,2739.217751,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
56,2743.541747,2742.191748,2742.351081,2743.541747,2758.325065,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
57,2794.626362,2793.029697,2793.63103,2794.623696,2797.908359,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
58,2802.684354,2801.312356,2801.365689,2802.631021,2816.947673,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
59,2823.860333,2821.724335,2822.963667,2823.860333,2829.672327,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
60,2839.356984,2831.404992,2836.376321,2839.304318,2858.978298,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
61,2881.286944,2879.467611,2879.894277,2881.233609,3581.012909,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
62,3584.969572,3583.09024,3583.90224,3584.916239,3593.290897,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
63,3631.953525,3630.735526,3630.763526,3631.900192,3639.108184,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
64,3642.691514,3641.436182,3641.602182,3642.691514,3718.319439,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
65,3723.2921,3721.334769,3721.788768,3723.2921,3752.046071,1.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
66,3774.885382,3762.262728,3762.913394,3751.440072,3812.727344,,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
67,3817.381339,3816.188007,3816.428674,3817.378673,3823.202667,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
68,3826.076664,3824.773999,3824.899999,3826.076664,3826.87533,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
69,4025.016465,4021.971135,4021.997802,4025.016465,4031.623125,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD273,p32
70,4114.706375,4112.784377,4112.994377,4114.653042,4124.207033,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
71,4129.331028,4127.785696,4128.243029,4129.331028,4161.818995,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
72,4164.992992,4163.658327,4163.89966,4164.992992,4963.53486,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
73,4967.626856,4965.334858,4966.308857,4967.573523,4971.474185,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
74,4976.73418,4974.929515,4975.148848,4976.680847,5000.33349,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
75,6077.749746,6075.687748,6075.801081,6077.749746,6227.240263,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD273,p32
76,6232.890924,6230.977593,6231.104926,6232.837591,6234.982922,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
77,6287.644869,6284.856872,6286.062871,6287.591536,6290.656866,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
78,6296.79086,6294.872195,6295.380861,6296.737527,6317.436173,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
79,6322.211501,6320.312837,6320.728836,6322.211501,6393.19543,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
80,6396.478094,6395.014095,6395.300095,6396.42476,6406.977417,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
81,6412.517411,6410.357413,6410.52408,6412.464078,6433.426057,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
82,6439.85205,6438.274719,6438.480052,6439.85205,6440.822049,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
83,7124.778032,7122.026035,7122.164701,7124.724699,7134.091356,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
84,7160.43733,7157.675333,7158.949331,7160.383996,7167.731989,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
85,7174.001983,7172.263985,7172.480651,7173.94865,7193.409297,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
86,7199.345291,7196.437294,7197.831292,7199.342624,7205.667951,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
87,8233.428257,8231.722258,8232.206925,8233.374923,8941.961548,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
88,8946.675544,8944.413546,8944.489546,8946.672877,8979.228844,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
89,8989.628167,8987.131503,8988.089502,8989.574834,8997.258826,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
90,9064.799425,9062.171428,9063.233427,9064.796759,9070.33342,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
91,9076.94808,9075.195415,9075.626081,9076.94808,9120.108703,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
92,9124.443366,9122.106035,9122.936034,9124.390032,9879.827277,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
93,9883.150607,9881.073276,9881.908608,9883.097274,9889.598601,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
94,9893.628597,9891.662599,9892.148598,9893.575263,9900.38459,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
95,9904.490586,9902.576588,9903.05192,9904.437252,9931.051226,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
96,9935.069222,9933.518557,9933.774556,9935.069222,9935.246555,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
97,9974.863849,9962.241195,9962.759861,,10536.267954,,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
98,10546.503277,10544.597279,10544.951279,10546.503277,10547.439943,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
99,10613.084544,10611.159213,10611.788545,10613.084544,10618.597205,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
100,10622.975867,10621.081202,10621.140536,10622.922534,10624.071866,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
101,10665.642491,10664.024493,10664.451159,10665.589158,10674.537149,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
102,10679.875147,10677.649813,10677.697146,10679.875147,13031.690125,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
103,13035.362788,13033.41279,13033.73679,13035.309455,13056.084101,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
104,13061.144096,13059.428764,13059.92743,13061.090762,13067.729422,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
105,13077.836079,13075.253415,13075.854081,13077.833412,13083.668073,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
