trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,schedule,odor_name,odor_dur,animal,session
1,352.723767,352.270269,352.320441,352.723767,437.4501,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD299,p34
2,451.407872,450.373043,450.441881,451.355544,463.221497,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
3,465.493821,464.415653,464.676158,465.441482,479.387594,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
4,483.486577,482.84708,482.903746,483.486577,495.635695,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD299,p34
5,497.391188,496.325359,496.776363,497.338688,505.198656,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD299,p34
6,506.565157,505.857654,506.025992,506.512984,514.426953,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
7,515.568616,514.786618,515.088956,515.516288,518.907774,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD299,p34
8,522.989586,522.012422,522.048262,522.937258,548.878482,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
9,553.25197,552.695966,552.729467,553.25197,603.603429,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD299,p34
10,609.480079,607.344248,608.683076,609.427746,615.706215,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
11,618.149711,617.308042,617.645207,618.097371,622.409194,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD299,p34
12,624.299847,623.694183,623.733682,624.24752,629.959663,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
13,631.393991,630.769987,630.829654,631.341818,637.470128,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD299,p34
14,639.437287,638.606623,638.865961,639.437287,645.268429,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD299,p34
15,647.678092,646.917589,647.129095,647.625753,659.39204,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
16,660.624035,659.923037,660.249209,660.624035,703.993034,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD299,p34
17,708.33735,707.735519,707.799013,708.33735,714.171987,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD299,p34
18,716.444984,715.516148,715.837986,716.444984,765.889781,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD299,p34
19,768.843608,768.162938,768.257938,768.791435,771.387925,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
20,780.141729,779.408566,779.479393,780.089557,783.953047,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD299,p34
21,786.517531,785.694534,785.928367,786.517531,789.817851,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD299,p34
22,793.290837,792.306842,792.661007,793.290837,796.856823,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD299,p34
23,800.233149,799.22698,799.487813,800.180816,809.047775,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
24,814.273087,813.418757,813.729262,814.27092,866.395878,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD299,p34
25,867.903378,867.225709,867.252881,867.903378,874.776845,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD299,p34
26,877.456173,876.783004,876.88917,877.403834,879.86683,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
27,882.030322,881.303991,881.55449,881.97815,887.460633,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD299,p34
28,889.365126,888.696456,888.752289,889.365126,901.19224,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD299,p34
29,903.271737,902.071908,902.349407,903.219404,919.895498,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD299,p34
30,924.00432,923.330151,923.406317,924.00432,930.69246,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD299,p34
31,934.620778,932.452281,932.650613,934.568445,938.100931,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
32,952.754866,951.77137,952.189208,952.754866,976.014612,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD299,p34
33,981.777089,980.594094,980.790754,981.724918,992.520546,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
34,995.002537,994.325534,994.504038,995.00053,997.940025,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD299,p34
35,1000.672847,999.805351,1000.117177,1000.672847,1007.368481,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD299,p34
36,1012.313129,1011.238299,1011.852636,1012.313129,1017.202448,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD299,p34
37,1019.181434,1018.623269,1018.728775,1019.128935,1027.139402,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD299,p34
38,1028.940395,1028.189898,1028.32257,1028.887895,1041.758016,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
39,1044.887498,1044.198,1044.311167,1044.835171,1049.069981,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
40,1051.300639,1050.67148,1050.776147,1051.300639,1055.595622,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD299,p34
41,1062.316601,1061.412265,1061.778097,1062.314434,1068.509409,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD299,p34
42,1073.406556,1072.788392,1072.850392,1073.354223,1090.693982,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
43,1092.268641,1091.511145,1091.54265,1092.268641,1095.96146,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD299,p34
44,1098.977954,1098.307957,1098.477289,1098.925781,1120.430695,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD299,p34
45,1124.722512,1123.940181,1124.024681,1124.670012,1132.778479,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
46,1137.529633,1136.016634,1136.923296,1137.477294,1156.687717,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
47,1165.924847,1165.103517,1165.242683,1165.924847,1346.193465,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD299,p34
48,1348.142451,1347.432955,1347.547454,1348.142451,1406.972216,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD299,p34
49,1408.696876,1407.771213,1407.894385,1408.696876,1428.812795,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD299,p34
50,1430.457795,1429.746464,1429.786125,1430.405622,1470.330296,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD299,p34
