trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,schedule,odor_name,odor_dur,animal,session
1,1312.599641,1311.288819,1311.525312,1312.599641,1337.72954,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
2,1340.681862,1339.564533,1340.009198,1340.681862,1373.095399,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
3,1375.238223,1374.363066,1374.487232,1375.238223,1392.169328,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
4,1407.765266,1406.489104,1406.79793,1407.712927,1414.5894,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
5,1417.302222,1416.682392,1416.765397,1417.302222,1449.360427,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
6,1452.339915,1451.404591,1451.612252,1452.339915,1454.110075,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
7,1536.72425,1534.691586,1535.020751,1536.671911,1571.062441,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
8,1576.309919,1575.524928,1575.623261,1576.309919,1625.636389,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
9,1628.518044,1627.423215,1627.781047,1628.518044,1635.481516,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
10,1638.151173,1636.959177,1637.306348,1638.098678,1822.032442,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
11,1880.82304,1879.263541,1879.524712,1880.770701,1881.865197,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
12,1887.238343,1886.369012,1886.426018,1887.186015,1908.544924,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
13,1910.883754,1909.731586,1910.046757,1910.831414,1918.948216,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
14,1921.16004,1919.915211,1920.166883,1921.107713,1925.314862,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
15,1927.293521,1926.535685,1926.713518,1927.293521,1933.250664,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
16,1935.116984,1934.280321,1934.402987,1935.116984,2211.19688,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
17,2214.571699,2213.436204,2213.825375,2214.571699,2219.517846,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
18,2237.688941,2235.906287,2236.322279,2237.688941,2256.595031,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
19,2286.746578,2285.750921,2285.845581,2286.746578,2294.113215,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
20,2296.580539,2295.396543,2295.765047,2296.580539,2333.271892,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
21,2337.295042,2335.637549,2335.847214,2337.242709,2343.443023,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
22,2346.783337,2345.618015,2345.801508,2346.783337,2353.609977,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
23,2356.626971,2355.392642,2355.896634,2356.574637,2369.848751,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
24,2546.169379,2544.751051,2545.127877,2546.117046,2549.045195,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
25,2551.772357,2550.384029,2550.93586,2551.720017,2556.650504,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
26,2561.204814,2560.380155,2560.435655,2561.204814,2569.31078,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
27,2571.575105,2570.650448,2570.824114,2571.522778,2580.301737,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
28,2583.064398,2581.567065,2582.113563,2583.064398,2591.440025,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
29,2599.3495,2597.715006,2597.807339,2599.297161,2603.091818,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
30,2624.588893,2623.319898,2623.455237,2624.588893,2634.244688,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
31,2637.316181,2635.649515,2635.865848,2637.263848,2641.781824,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
32,2645.381143,2643.159652,2643.616816,2645.328816,2648.52713,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
33,2651.390791,2650.158796,2650.258796,2651.390791,2656.947936,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
34,2664.107241,2663.295405,2663.380738,2664.107241,2667.387388,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
35,2965.684534,2964.610699,2964.920031,2965.632201,2972.709667,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
36,2992.333756,2990.233763,2990.793762,2992.281428,2997.350735,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
37,2999.955231,2999.149562,2999.173894,2999.955231,3004.157374,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
38,3007.249863,3006.0012,3006.394538,3007.197363,3017.110329,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
39,3019.65148,3018.435657,3018.919482,3019.65148,3021.539305,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
40,3026.588951,3025.403295,3025.928955,3026.588951,3036.580745,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
41,3040.787894,3038.426404,3039.274407,3040.735728,3044.681218,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
42,3047.510374,3046.11504,3046.593711,3047.458035,3051.365852,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
43,3054.390179,3053.61101,3053.745677,3054.390179,3109.874286,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
44,3112.063115,3110.916115,3111.284619,3112.063115,3112.71744,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
45,3139.051335,3137.638013,3137.796007,3138.999008,3152.784447,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
46,3169.712385,3166.993557,3167.234561,3169.660046,3310.358989,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
47,3314.789133,3313.075306,3313.425304,3314.736638,3323.796769,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
48,3327.425587,3325.463262,3325.798588,3327.425587,3329.755578,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
49,3351.249319,3349.375333,3350.12333,3351.249319,3355.43647,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
50,3365.911267,3364.30144,3365.137764,3365.859094,3373.081571,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
51,3376.261053,3374.749892,3375.31039,3376.261053,3429.138675,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
52,3432.594333,3430.663336,3431.74567,3432.541995,3441.468792,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
53,3444.632785,3443.321952,3443.376784,3444.632785,3453.987742,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
54,3457.216563,3455.575908,3456.260739,3457.164235,3461.258052,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
55,3464.549867,3463.180039,3463.651537,3464.497367,3473.051499,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
56,3478.077318,3475.029491,3475.108824,3478.02498,3481.979464,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
57,3485.344122,3484.438121,3484.463453,3485.291783,3506.777198,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
58,3584.431059,3583.257897,3583.584063,3584.378888,3595.808014,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
59,3599.027162,3597.685167,3598.113671,3599.027162,3637.843512,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
60,3645.375976,3643.713483,3644.481819,3645.375976,3651.151626,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
61,3657.329596,3654.041108,3654.121608,3657.329596,3661.588917,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
62,3779.766939,3778.336611,3778.767776,3779.766939,4043.031886,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
63,4048.014533,4046.182373,4046.238207,4047.962205,4077.357588,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
64,4082.684733,4081.063401,4081.418399,4082.684733,4085.18855,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
65,4952.591087,4951.282259,4951.470091,4952.591087,5814.706138,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
66,5819.936617,5817.211456,5817.717953,5819.884278,6676.668857,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
67,6683.668329,6679.407507,6680.329336,6683.668329,8543.967382,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
68,8552.164182,8547.881039,8548.687869,8552.164182,9218.51469,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
69,9237.172776,9235.777621,9236.159114,9237.172776,10410.369255,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
70,10422.342868,10420.701547,10421.284206,10422.342868,10952.521254,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
71,11126.287053,11124.031561,11124.980558,11126.234725,11150.368623,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
72,11160.240256,11158.267092,11159.124422,11160.187923,11162.280081,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
73,11233.641957,11228.299478,11229.312474,11233.589629,12006.421532,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
74,12011.84185,12009.137688,12010.192523,12011.78951,13742.60876,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
75,13747.012075,13745.82158,13745.924913,13747.012075,13778.272444,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
76,14063.193144,14059.693819,14060.154318,14063.193144,14069.915445,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
77,14077.96708,14075.172923,14076.471418,14077.914913,14079.992744,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
78,14083.373563,14082.114402,14082.351895,14083.321224,14085.438555,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
79,14092.195856,14090.197697,14090.396363,14092.143528,14100.847327,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
80,14105.25197,14103.483483,14104.373146,14105.199643,14111.260779,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
81,14114.428433,14112.867779,14113.275777,14114.428433,14123.381903,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
82,14127.874385,14125.27589,14125.897893,14127.822052,14153.958942,1,2.99999999999994,0.0299999999999997,7.00000000000003,2,66,0.5,ASD197,p32
83,14193.853115,14192.925619,14193.025791,14193.853115,14200.718094,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
84,14205.95024,14204.831244,14205.274742,14205.897907,14221.485338,0,2.99999999999994,0.0299999999999997,5.99999999999996,1,65,0.5,ASD197,p32
85,14224.858831,14223.280504,14223.937329,14224.858831,14225.737988,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
86,14238.435104,14236.686283,14237.163782,14238.435104,14245.019411,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
87,14249.166561,14246.688577,14246.956242,14249.166561,14306.267666,0,NaN,0,7.00000000000003,2,66,0.5,ASD197,p32
88,14309.628153,14308.366991,14308.910328,14309.628153,14317.413121,1,NaN,0,5.99999999999996,1,65,0.5,ASD197,p32
