session,session_threshold_p93,session_threshold_p95,session_threshold_p98,cut_scope,A_ID,animal_session_threshold_p93,animal_session_threshold_p95,animal_session_threshold_p98
1,14.084498169999582,20.113271399999643,65.4073300000013,session,,,,
2,12.876540000005438,18.086181899999968,65.05511207999962,session,,,,
1,,,,animal_session,ASD008,106.52898307999946,258.7126999999994,587.3942209999981
2,,,,animal_session,ASD008,14.261999460000407,17.852248899999537,65.44585447999899
1,,,,animal_session,ASD009,14.73019999999964,20.659650000000536,58.71562000000056
2,,,,animal_session,ASD009,12.613550000000183,16.04287524999836,64.95664979999957
1,,,,animal_session,ASD010,12.94791421999994,18.16818174999915,97.17526328000015
2,,,,animal_session,ASD010,13.690262160000312,17.441100000000002,73.57333999999925
1,,,,animal_session,ASD011,13.234079999999752,19.12809919999968,79.96620047999994
2,,,,animal_session,ASD011,9.803074999999764,14.053374999999846,72.53729999999962
1,,,,animal_session,ASD024,7.259858900001557,10.155656500001896,21.515445199999835
2,,,,animal_session,ASD024,8.36900000000242,10.518000000000029,18.097099999999052
1,,,,animal_session,ASD076,15.006539999999955,21.749799999998483,47.6563009600004
2,,,,animal_session,ASD076,11.745249999999732,19.400174999999642,70.75290002000054
1,,,,animal_session,ASD077,8.33404999999907,11.812750000000051,22.494999999999525
2,,,,animal_session,ASD077,10.024336719999717,13.329186299999943,54.907705799999704
1,,,,animal_session,ASD078,7.543565919999094,9.74439090000087,20.301606240000275
2,,,,animal_session,ASD078,26.975844999999886,39.63897500000092,91.24465000000077
1,,,,animal_session,ASD112,10.004989570000083,14.485447800000268,34.95643997999996
2,,,,animal_session,ASD112,4.692182399999552,5.589810999999941,12.373350600000073
1,,,,animal_session,ASD113,23.5586048199998,27.81299259999985,66.81257067999931
2,,,,animal_session,ASD113,10.805649190000288,14.190584849999873,29.960136439999268
1,,,,animal_session,ASD114,14.246599900000223,20.120986700000064,48.41661227999992
2,,,,animal_session,ASD114,18.288498660000254,26.318300299999983,76.68648000000022
1,,,,animal_session,ASD117,25.19292000000035,40.16605000000003,104.51620999999845
2,,,,animal_session,ASD117,25.19292000000035,40.16605000000003,104.51620999999845
1,,,,animal_session,ASD118,15.92988349999991,27.88147200000094,88.48424459999947
2,,,,animal_session,ASD118,15.92988349999991,27.88147200000094,88.48424459999947
1,,,,animal_session,ASD127,25.926505000000116,38.41119999999984,171.2098499999998
2,,,,animal_session,ASD127,8.872590399998993,10.730655999999954,27.180239399999788
1,,,,animal_session,ASD137,7.784921400000117,11.005165099999575,24.11534384000012
2,,,,animal_session,ASD137,6.64375586000001,9.551124449999886,18.1221200000003
1,,,,animal_session,ASD175,9.847290000000577,15.175300000000194,45.584359999999194
2,,,,animal_session,ASD175,8.934620000000583,13.235699199999658,45.501832959999284
1,,,,animal_session,ASD176,30.89327794999961,37.02907699999504,86.49776145999924
2,,,,animal_session,ASD176,15.957556879999116,21.62957839999834,82.7662906800002
1,,,,animal_session,ASD177,8.697071879998408,10.243056900004712,58.79282104000015
2,,,,animal_session,ASD177,18.48249999999971,31.41599999999744,107.86959999999516
1,,,,animal_session,ASD203,10.553909000002026,14.397319000000044,53.23618635999883
2,,,,animal_session,ASD203,24.474290000001893,44.652300000000395,134.7049600000025
1,,,,animal_session,ASD204,12.60040500000032,19.400749999999004,79.86369000000124
2,,,,animal_session,ASD204,17.92334893000017,33.7234668500001,75.56827141999926
