strain,sex,schedule_label,session,genotype,A_ID,n_trials,mean_itl,median_itl,sem_itl,sd_itl,min_itl,max_itl,cut_scope,percentile
TSC2,female,Deterministic,1,HET,ASD008,156,14.765388044871598,5.104499999999007,2.400716731913907,29.984942371047786,0.6365009999999529,228.6994999999988,animal_session,95
TSC2,female,Deterministic,1,HET,ASD009,633,2.762949447077451,1.5060000000003129,0.13025339774661815,3.2771092209953854,0.5380000000004657,20.439499999999953,animal_session,95
TSC2,female,Deterministic,1,HET,ASD010,731,2.066909017783759,1.0066659999993135,0.10277590825380725,2.77875343076995,0.4259989999991376,17.359315999998216,animal_session,95
TSC2,female,Deterministic,1,HET,ASD011,643,2.507477475894184,1.4405000000006112,0.11697261102181854,2.9661265114480933,0.4140000000006694,18.99999899999966,animal_session,95
TSC2,female,Deterministic,1,HET,ASD076,905,2.7255248662983584,1.4364999999997963,0.11022021447328907,3.3157787304156354,0.40800000000012915,21.41599999999744,animal_session,95
TSC2,female,Deterministic,1,HET,ASD077,580,2.1890560362069205,1.5367499999999836,0.0805622390440831,1.9401956418572004,0.38550000000032014,11.706500000000233,animal_session,95
TSC2,female,Deterministic,1,HET,ASD078,1078,1.8037990677180138,1.129665500000101,0.05175929996358085,1.6994084538662553,0.3766670000004524,9.731991000000562,animal_session,95
TSC2,female,Deterministic,1,HET,ASD113,565,3.9687061805309978,1.823826000000281,0.21801007630622615,5.182040356330823,0.3743319999994128,27.674395000000004,animal_session,95
TSC2,female,Deterministic,1,HET,ASD114,762,2.096492891076101,0.7569104999997762,0.1162792093637328,3.2098117004045847,0.33565900000030524,19.860587000000123,animal_session,95
TSC2,female,Deterministic,1,HET,ASD176,663,4.87940831975875,1.857481999999436,0.2641768302170713,6.802232767584968,0.3510039999998753,36.981004999994184,animal_session,95
TSC2,female,Deterministic,1,WT,ASD024,1150,1.5205393530434674,0.9233325000002424,0.0464802132211552,1.5762207187594819,0.31799999999998363,10.135323000000426,animal_session,95
TSC2,female,Deterministic,1,WT,ASD112,524,2.3925219484732545,1.4645010000001548,0.10048993930909043,2.300319851852914,0.5529999999998836,14.31399600000077,animal_session,95
TSC2,female,Deterministic,1,WT,ASD117,695,3.9313388374100637,1.6355000000003201,0.22391396762716906,5.903010935487578,0.3710000000000946,39.76599999999962,animal_session,95
TSC2,female,Deterministic,1,WT,ASD118,708,2.5794936158192234,1.2233324999997421,0.1324427668826864,3.5240728201436826,0.39800000000013824,25.89797400000134,animal_session,95
TSC2,female,Deterministic,1,WT,ASD127,465,5.870720410752695,3.264999999999418,0.29884353554421034,6.444219759792659,0.4014940000000138,37.748999999999796,animal_session,95
TSC2,female,Deterministic,1,WT,ASD137,649,1.7010996363635968,0.9491629999993165,0.0719129310271298,1.832016321473245,0.33633800000006886,10.757963000000018,animal_session,95
TSC2,female,Deterministic,1,WT,ASD175,888,1.8530337871622198,0.9409999999998035,0.07668146549333497,2.285056207051045,0.37849999999889405,15.149499999999989,animal_session,95
TSC2,female,Deterministic,1,WT,ASD177,595,2.2319462302520074,1.5886650000029476,0.0736980324503363,1.7976882355667902,0.4886659999999665,9.94999000000098,animal_session,95
TSC2,female,Deterministic,1,WT,ASD203,1023,1.985214687194489,1.1013329999987036,0.07260489092223987,2.3222217809900183,0.4253329999999096,14.345319000000018,animal_session,95
TSC2,female,Deterministic,1,WT,ASD204,961,2.442134755462988,1.2224999999998545,0.10013780208501073,3.1042718646353333,0.34649999999965075,19.330999999998312,animal_session,95
TSC2,female,Deterministic,2,HET,ASD008,983,2.3802302187181534,1.0513320000000022,0.10104584154566232,3.1680731743567256,0.4513329999999769,17.832648999999947,animal_session,95
TSC2,female,Deterministic,2,HET,ASD009,1088,2.355398837316117,1.0644999999985885,0.08858351457641382,2.921913498295969,0.41399900000033085,15.670501000000513,animal_session,95
TSC2,female,Deterministic,2,HET,ASD010,947,2.062209137275528,0.7520040000003974,0.10364966375820744,3.189648946034408,0.390002000000095,17.429000000000087,animal_session,95
TSC2,female,Deterministic,2,HET,ASD011,946,2.298381606765374,1.3364999999998872,0.07699451820615179,2.3681290967285515,0.470500000003085,14.016499999999724,animal_session,95
TSC2,female,Deterministic,2,HET,ASD076,902,2.0902073259423597,0.9540000000001783,0.09207496552038455,2.7653164279288496,0.37750000000005457,19.334999999999127,animal_session,95
TSC2,female,Deterministic,2,HET,ASD077,1040,2.1671612971153933,1.0333319999995183,0.07640432358640532,2.463965399352022,0.3020000000000209,13.303985999999895,animal_session,95
TSC2,female,Deterministic,2,HET,ASD078,691,3.342213457308252,0.7505000000001019,0.23840539288334386,6.266933681386803,0.3165000000000191,39.065999999998894,animal_session,95
TSC2,female,Deterministic,2,HET,ASD113,714,2.394319137254964,1.2901584999999614,0.09907594034612373,2.647386249908505,0.3980039999996734,14.141609999999673,animal_session,95
TSC2,female,Deterministic,2,HET,ASD114,907,2.738672013230428,0.731499999999869,0.14686150418783978,4.422945780921308,0.29700000000002547,26.133499999999913,animal_session,95
TSC2,female,Deterministic,2,HET,ASD176,880,2.3446756477273127,0.8543324999991455,0.12267069614711473,3.6390009247088155,0.33666599999924074,21.48864599999797,animal_session,95
TSC2,female,Deterministic,2,WT,ASD024,1369,1.6269894039444777,0.7640000000001237,0.0534748848024189,1.9785707376894999,0.30750000000080036,10.518000000000029,animal_session,95
TSC2,female,Deterministic,2,WT,ASD112,609,1.4994153251231215,1.0713289999998779,0.04335912771615854,1.0700133173892943,0.47533800000019255,5.589810999999941,animal_session,95
TSC2,female,Deterministic,2,WT,ASD117,695,3.9313388374100637,1.6355000000003201,0.22391396762716906,5.903010935487578,0.3710000000000946,39.76599999999962,animal_session,95
TSC2,female,Deterministic,2,WT,ASD118,708,2.5794936158192234,1.2233324999997421,0.1324427668826864,3.5240728201436826,0.39800000000013824,25.89797400000134,animal_session,95
TSC2,female,Deterministic,2,WT,ASD127,979,1.883027072522988,1.0679979999986244,0.062129077840040056,1.9439552064477776,0.39333299999998417,10.684655999999904,animal_session,95
TSC2,female,Deterministic,2,WT,ASD137,809,1.0516075253399295,0.47599999999965803,0.05283704994119361,1.5028402649014103,0.2964999999999236,9.491498999999976,animal_session,95
TSC2,female,Deterministic,2,WT,ASD175,707,1.7049978925035414,0.7459930000004533,0.08166970640018938,2.1715543389585354,0.36200000000008004,12.822499999999991,animal_session,95
TSC2,female,Deterministic,2,WT,ASD177,818,3.6584786063570154,1.8939999999984138,0.15958679488153202,4.564293931404745,0.448499999998603,31.41599999999744,animal_session,95
TSC2,female,Deterministic,2,WT,ASD203,614,4.307827376221521,1.5082500000007713,0.2456919912218316,6.088007596417469,0.4985000000015134,43.39650000000029,animal_session,95
TSC2,female,Deterministic,2,WT,ASD204,663,2.2270053227752515,0.67333299999882,0.16764847874062405,4.316744865884727,0.3646659999994881,33.625966999999946,animal_session,95
