session,session_threshold_p93,session_threshold_p95,session_threshold_p98,cut_scope,A_ID,animal_session_threshold_p93,animal_session_threshold_p95,animal_session_threshold_p98
1,7.974525000000266,11.40157249999977,33.09884484000026,session,,,,
2,10.059989439999553,14.411792000000041,46.25718295999974,session,,,,
1,,,,animal_session,115,6.407220080000261,8.939057000001034,16.190277239999872
2,,,,animal_session,115,11.096581680000623,14.265549999998964,45.40394038000012
1,,,,animal_session,123,9.637719999999973,12.193399999999372,24.78611999999964
2,,,,animal_session,123,9.753068949999856,13.329737750000277,30.15402910000025
1,,,,animal_session,125,3.739804319999612,4.991043600000186,8.707603480000328
2,,,,animal_session,125,5.565765000000222,6.920677200001043,11.81800957999951
1,,,,animal_session,146,18.438099449999804,26.67724774999965,55.7322499999995
2,,,,animal_session,146,29.9174699999998,50.147799999997176,201.23791999999912
1,,,,animal_session,147,14.72227999999917,20.32690000000219,72.23359999999903
2,,,,animal_session,147,26.83045292000006,39.056760999999995,111.92522131999911
1,,,,animal_session,148,6.8031265500001386,11.81998800000008,35.92483069999923
2,,,,animal_session,148,21.124576960000045,34.92459999999991,103.33857999999978
1,,,,animal_session,172,7.903659500000117,11.127155749998565,24.4419754999999
2,,,,animal_session,172,5.324940000000123,6.381399999999711,14.750470000000245
1,,,,animal_session,173,3.1621050000003326,3.8451250000012815,12.393490000000064
2,,,,animal_session,173,10.595382560000582,13.07710719999989,41.42032004000117
1,,,,animal_session,19,6.138487429999773,12.25648815000148,35.08415102000033
2,,,,animal_session,19,13.71531991999996,58.57354139999958,451.16261572000155
1,,,,animal_session,20,14.60329999999945,26.893499999999676,100.59979999999958
2,,,,animal_session,20,21.64900000000125,31.855999999999767,199.55749999999898
1,,,,animal_session,22,4.054317500000252,5.367895499999577,9.904960500000016
2,,,,animal_session,22,8.51597746999941,11.699444749999218,22.087305280000905
1,,,,animal_session,23,5.373835229997277,6.680114650000891,12.442906880000512
2,,,,animal_session,23,4.171950000000041,5.80697599999985,14.857173399999722
1,,,,animal_session,28,2.734461059999321,3.588177549999304,6.577565060000645
2,,,,animal_session,28,2.830421159999969,3.6796558000001767,6.670950039999152
1,,,,animal_session,29,27.004658200001735,39.258926999998494,104.50851759999817
2,,,,animal_session,29,2.0475337299996315,3.600089099999694,7.995879199999573
1,,,,animal_session,30,2.6225208800003212,3.5839026000005068,8.62527999999968
2,,,,animal_session,30,2.983399399999691,4.303499000000102,6.633100000000014
1,,,,animal_session,353,10.400554590000214,14.408374999998575,46.29912999999992
2,,,,animal_session,353,10.201962999999932,12.87892100000024,57.80279563999955
1,,,,animal_session,354,10.110030000000306,11.786121199999254,20.994832440000227
2,,,,animal_session,354,20.44237000000107,32.99465119999956,111.83769999999885
1,,,,animal_session,360,8.436551999999276,11.757255300000127,23.121416880000393
2,,,,animal_session,360,33.65377943999965,54.91260039999907,109.76122064000077
1,,,,animal_session,361,6.084808799999701,7.470444749999925,15.323026259999569
2,,,,animal_session,361,3.6976300000001676,5.455994399999903,9.760803480000122
1,,,,animal_session,362,4.334875819999924,6.014660300000014,15.232330780000424
2,,,,animal_session,362,4.323055330000093,5.329529050000244,11.535407380000107
1,,,,animal_session,364,13.43889637999879,17.989152600000487,44.36929000000015
2,,,,animal_session,364,16.118690579999708,22.231011549999085,67.38393199999985
1,,,,animal_session,365,8.927690899999938,11.131654999999,46.755352800001084
2,,,,animal_session,365,13.257285690000524,20.311424999999776,75.13121965999949
1,,,,animal_session,366,5.087940000000926,6.590101950000033,22.45105000000073
2,,,,animal_session,366,10.399789199998851,14.512318499999765,61.92153800000044
1,,,,animal_session,6,8.133025000000563,12.751749999999902,45.66959999999902
2,,,,animal_session,6,3.2071049999998693,5.803800000000358,17.783829999999107
1,,,,animal_session,7,17.36593999999994,29.54744870000008,72.90217900000026
2,,,,animal_session,7,3.4196608899999856,4.889798900000034,11.088080000000984
1,,,,animal_session,73,12.080301119999323,18.87822444999874,50.68420158000069
2,,,,animal_session,73,25.42814785999979,35.27713190000011,100.5749927199994
1,,,,animal_session,74,11.944521449999417,16.88198250000096,73.21332550000031
2,,,,animal_session,74,14.814370999999825,21.494349900000774,57.459199000000304
1,,,,animal_session,75,6.518220720000122,9.555100200000028,18.351999080003214
2,,,,animal_session,75,6.592619879999968,9.481798800000067,21.0141393199999
