session,session_threshold_p93,session_threshold_p95,session_threshold_p98,cut_scope,A_ID,animal_session_threshold_p93,animal_session_threshold_p95,animal_session_threshold_p98
1,17.211735249999947,26.594140250001146,85.84454050000022,session,,,,
2,18.471939999999986,26.787603600000192,98.5768444800001,session,,,,
1,,,,animal_session,ASD015,27.628638240000207,34.07543279999981,183.06899032000015
2,,,,animal_session,ASD015,6.71996783999996,7.880098999999969,14.871313819999921
1,,,,animal_session,ASD016,28.633519469999715,35.04237499999959,91.46641964000044
2,,,,animal_session,ASD016,8.284044959999761,10.70718940000016,38.73980108000006
1,,,,animal_session,ASD106,11.609066840000198,16.81146599999974,103.88020635999635
2,,,,animal_session,ASD106,18.876955610000124,25.602731000000553,72.36342324000015
1,,,,animal_session,ASD107,37.366742560000276,60.31165980000118,348.6705853199972
2,,,,animal_session,ASD107,11.620167290000227,14.242569000000634,50.25798429999948
1,,,,animal_session,ASD156,21.543747499999768,47.05137524999918,169.65474450000033
2,,,,animal_session,ASD156,26.04625387999965,39.7648269999998,146.08114746000004
1,,,,animal_session,ASD158,78.65547124999907,96.52144274999864,161.92178729999992
2,,,,animal_session,ASD158,28.817965580001264,50.52139674999994,222.40978281999838
1,,,,animal_session,ASD159,20.164779700006164,37.416628999998466,172.6070272000008
2,,,,animal_session,ASD159,36.86569699999619,45.67740000000049,201.2480629999984
1,,,,animal_session,ASD207,19.976068789999882,35.880906299998585,88.9669395200013
2,,,,animal_session,ASD207,16.625308670000198,22.10614770000038,59.00499004000044
1,,,,animal_session,ASD220,33.19542759999911,45.72206499999743,128.9723780000005
2,,,,animal_session,ASD220,23.212793520000538,36.94940240000031,93.57023771999985
1,,,,animal_session,ASD221,12.301264000000268,16.493783900000548,52.519723919998896
2,,,,animal_session,ASD221,22.447736200000666,30.472777799999264,108.551115040001
1,,,,animal_session,ASD237,12.762187600000205,18.20464849999962,46.921086099999066
2,,,,animal_session,ASD237,14.133910019999975,24.20899999999962,92.69742000000072
1,,,,animal_session,ASD238,7.885625000000081,11.096873999999389,73.79414899999998
2,,,,animal_session,ASD238,8.615264999999923,12.60447500000016,63.94976999999998
1,,,,animal_session,ASD253,28.05433192000014,36.02773065000016,228.7965043400021
2,,,,animal_session,ASD253,25.357080999999308,34.06230100000103,232.8599398399992
1,,,,animal_session,ASD254,17.859103919999633,33.2693991999994,48.795554719999714
2,,,,animal_session,ASD254,13.085546999999973,18.928014699999473,43.378063259999315
1,,,,animal_session,ASD263,22.799476799999855,33.772799499999564,73.67279289999983
2,,,,animal_session,ASD263,19.5364999999998,26.215600000000585,89.72681999999979
1,,,,animal_session,ASD265,9.484699999999073,13.69025000000056,60.962799999999355
2,,,,animal_session,ASD265,11.508400000000254,16.787500000000364,81.33579999999934
1,,,,animal_session,ASD277,9.61529747999974,13.299120599998963,36.237617519999645
2,,,,animal_session,ASD277,25.239064999999673,32.99822499999875,65.91507000000034
1,,,,animal_session,ASD287,7.423352999999914,9.412458000000331,29.423890320002325
2,,,,animal_session,ASD287,12.246870000000417,17.02655030000001,43.52563999999923
1,,,,animal_session,ASD307,8.678658249999444,12.23798824999892,33.784299500001
2,,,,animal_session,ASD307,11.886399999998195,16.92219999999961,64.13013999999988
1,,,,animal_session,ASD352,27.588575489999347,45.594623049999235,186.08730999999966
2,,,,animal_session,ASD352,116.99058519999687,192.42943800000012,1398.3477016999936
1,,,,animal_session,ASD358,59.00651112,94.14712719999982,205.05757067999838
2,,,,animal_session,ASD358,59.00651112,94.14712719999982,205.05757067999838
1,,,,animal_session,ASD390,15.819931580000635,21.477249299999674,138.1336182399976
2,,,,animal_session,ASD390,20.889479999999633,32.40150000000024,192.59794000000102
